Host: dsiuriofir01
Job ID: 16861595
Start: Tue Jun  9 08:48:37 AM IDT 2026
Tue Jun  9 08:48:37 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100 80GB PCIe          Off |   00000000:CA:00.0 Off |                    0 |
| N/A   35C    P0             45W /  300W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Starting Extended HP Search for HalfCheetah-v4

--- Running Config 1/3: Baseline_Paper ---
[Baseline_Paper] Step: 10000 | Avg Reward: -2.18
[Baseline_Paper] Step: 20000 | Avg Reward: 1632.87
[Baseline_Paper] Step: 30000 | Avg Reward: 1196.28
[Baseline_Paper] Step: 40000 | Avg Reward: 3336.64
[Baseline_Paper] Step: 50000 | Avg Reward: 4884.39
[Baseline_Paper] Step: 60000 | Avg Reward: 5397.74
[Baseline_Paper] Step: 70000 | Avg Reward: 5987.92
[Baseline_Paper] Step: 80000 | Avg Reward: 6178.19
[Baseline_Paper] Step: 90000 | Avg Reward: 6269.07
[Baseline_Paper] Step: 100000 | Avg Reward: 6661.35
[Baseline_Paper] Step: 110000 | Avg Reward: 6660.38
[Baseline_Paper] Step: 120000 | Avg Reward: 6776.31
[Baseline_Paper] Step: 130000 | Avg Reward: 6816.66
[Baseline_Paper] Step: 140000 | Avg Reward: 6914.03
[Baseline_Paper] Step: 150000 | Avg Reward: 6898.02
[Baseline_Paper] Step: 160000 | Avg Reward: 7319.97
[Baseline_Paper] Step: 170000 | Avg Reward: 7543.13
[Baseline_Paper] Step: 180000 | Avg Reward: 7895.52
[Baseline_Paper] Step: 190000 | Avg Reward: 7620.33
[Baseline_Paper] Step: 200000 | Avg Reward: 8318.45
[Baseline_Paper] Step: 210000 | Avg Reward: 8386.56
[Baseline_Paper] Step: 220000 | Avg Reward: 8157.22
[Baseline_Paper] Step: 230000 | Avg Reward: 8340.35
[Baseline_Paper] Step: 240000 | Avg Reward: 8687.05
[Baseline_Paper] Step: 250000 | Avg Reward: 8108.92
[Baseline_Paper] Step: 260000 | Avg Reward: 8893.68
[Baseline_Paper] Step: 270000 | Avg Reward: 8269.57
[Baseline_Paper] Step: 280000 | Avg Reward: 8952.55
[Baseline_Paper] Step: 290000 | Avg Reward: 8967.81
[Baseline_Paper] Step: 300000 | Avg Reward: 8794.46
